STATE_ABBR,REPORTING_YEAR,CATEGORY,SUM_REL_EST,AVG_REL_EST,MIN_REL_EST,MAX_REL_EST,STD_REL_EST,VAR_REL_EST
NH,2006,POTW NON METALS,618817,32569.31579,10,156182,53519.95734,2864385834
AL,2006,SI 5.5.3B,14189500.62,103572.9972,0.0005954,1800000,286138.1867,81875061909
RI,2006,WATER,14089.17294,361.2608446,0.000198,6657,1418.826918,2013069.824
MD,2006,WATER,1949911.79,23213.2356,0.03,974000,133484.0604,17817994370
ID,2006,WASTE TREATMENT,538885.0046,18582.24154,0.002317,320250,62286.24142,3879575870
FL,2006,POTW METALS,0,0,0,0,0,0
ME,2006,ENERGY RECOVERY,168304.966,7317.607217,0.01,107135,22036.80646,485620839.2
ID,2006,POTW METALS,0,0,0,0,0,0
WY,2006,WASTE TREATMENT,39623.16,1584.9264,1.2,20200,4874.68725,23762575.78
IL,2006,SI 5.5.3A,36900,18450,6000,30900,17606.95885,310005000
VA,2006,RCRA C,190,190,190,190,0,0
RI,2006,OTH DISP,3102,3102,3102,3102,0,0
DE,2006,TOTAL OFFSITE RELEASE,4769231.918,14496.14565,0,4014155,221547.7636,49083411578
MD,2006,POTW RELEASE,41114.2792,50.2005851,0,22668,863.9538085,746416.1832
NC,2006,POTW RELEASE,11880.58039,4.309242071,0,1465,50.7546561,2576.035116
MP,2006,POTW RELEASE,0,0,0,0,0,0
GA,2006,POTW TREATMENT,3088084.699,1120.088756,0,703552,22701.1267,515341153.3
IN,2006,POTW TREATMENT,5915604.26,1529.370284,0,2600000,43557.01759,1897213781
WY,2006,POTW TREATMENT,28261,96.12585034,0,8600,837.1819305,700873.5848
OR,2006,TOTAL ONSITE RELEASE,25301897.34,25557.47206,0,4234488.9,174396.2352,30414046854
NC,2006,TOTAL ONSITE RELEASE,119964050.9,43512.53205,0,12545518.7,433545.1724,1.87961E+11
GA,2006,AIR STACK,88930238.18,62232.49697,0.00002,17000000,614735.1719,3.77899E+11
MO,2006,AIR STACK,15041361.92,13287.42219,0.0000004,1200000,63154.41875,3988480608
CA,2006,AIR STACK,13360288.96,5680.394966,0.0000009,1500000,49917.64208,2491770991
