Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2013','Utah','All Types of Cancer','401.9','393.9','410.1','9797','2899961'
'2013','California','All Types of Cancer','411.6','409.6','413.6','163799','38347383'
'2013','Colorado','All Types of Cancer','408.9','403.5','414.5','22414','5262556'
'2013','Nevada','All Types of Cancer','406.5','399.2','413.9','12355','2786547'
'2013','Texas','All Types of Cancer','413.6','411.1','416.2','105295','26479279'
'2013','Alabama','All Types of Cancer','450.4','444.8','456','25645','4827660'
'2013','Alaska','All Types of Cancer','419.9','403','437.3','2735','736760'
'2013','Delaware','All Types of Cancer','513.6','500.2','527.3','5810','925114'
'2013','District of Columbia','All Types of Cancer','452.3','435.4','469.5','2858','650114'
'2013','Hawaii','All Types of Cancer','423.2','413.1','433.4','7132','1408038'
'2013','Idaho','All Types of Cancer','430.5','420.6','440.5','7512','1610187'
'2013','Kentucky','All Types of Cancer','522.1','515.7','528.5','26575','4399121'
'2013','Louisiana','All Types of Cancer','480.9','474.8','487.1','24430','4626795'
'2013','Michigan','All Types of Cancer','453','449.1','457','53601','9899219'
'2013','Missouri','All Types of Cancer','452.7','447.7','457.8','32326','6041142'
'2013','Montana','All Types of Cancer','450','438.1','462.2','5736','1011921'
'2013','Nebraska','All Types of Cancer','454.7','445.4','464.1','9527','1867414'
'2013','New Hampshire','All Types of Cancer','494','483','505.2','8133','1322622'
'2013','New Jersey','All Types of Cancer','490.3','486','494.7','50842','8913735'
'2013','New York','All Types of Cancer','492.4','489.5','495.3','111861','19712514'
'2013','North Dakota','All Types of Cancer','449.2','434.4','464.5','3634','722908'
'2013','Oklahoma','All Types of Cancer','452.4','445.9','458.9','19518','3849840'
'2013','Oregon','All Types of Cancer','448.3','442.1','454.5','21127','3919664'
'2013','Pennsylvania','All Types of Cancer','493.2','489.7','496.8','79135','12778450'
'2013','Rhode Island','All Types of Cancer','490.6','478.1','503.2','6249','1052784'
'2013','Vermont','All Types of Cancer','449.2','434.1','464.7','3598','626044'
'2013','Virginia','All Types of Cancer','426.1','421.8','430.5','38882','8261689'
'2014','Alabama','All Types of Cancer','442.9','437.4','448.5','25607','4840037'
'2014','District of Columbia','All Types of Cancer','448.2','431.7','465.1','2925','660797'
'2014','Idaho','All Types of Cancer','439.7','429.9','449.7','7914','1630391'
'2014','Maryland','All Types of Cancer','449','443.9','454.2','30411','5970245'
'2014','Massachusetts','All Types of Cancer','456.4','451.6','461.2','36681','6757925'
'2014','Michigan','All Types of Cancer','448.2','444.3','452.1','53918','9914675'
'2014','Missouri','All Types of Cancer','457','452','462.1','33149','6058014'
'2014','Montana','All Types of Cancer','447.3','435.4','459.4','5792','1019931'
'2014','Nebraska','All Types of Cancer','448.7','439.5','458','9586','1880920'
'2014','North Dakota','All Types of Cancer','448.5','433.7','463.6','3687','738658'
'2014','Oklahoma','All Types of Cancer','454.7','448.3','461.2','19912','3875008'
'2014','Oregon','All Types of Cancer','440.6','434.5','446.7','21247','3960673'
'2014','South Carolina','All Types of Cancer','456.6','451','462.3','26568','4824758'
'2014','Tennessee','All Types of Cancer','454.9','450.1','459.8','35090','6540007'
'2014','Washington','All Types of Cancer','449.8','445','454.6','35614','7046931'
'2014','Arkansas','All Types of Cancer','468.5','461.3','475.9','16558','2964800'
'2014','Connecticut','All Types of Cancer','468.2','461.7','474.8','20625','3600188'
'2014','Florida','All Types of Cancer','459.7','457.1','462.4','123677','19897747'
'2014','Georgia','All Types of Cancer','465.7','461.5','469.9','48906','10083850'
'2014','Illinois','All Types of Cancer','467','463.4','470.6','67952','12882438'
'2014','Indiana','All Types of Cancer','462.5','457.6','467.5','34640','6593182'
'2014','Kansas','All Types of Cancer','459.5','452','467.1','14995','2899553'
'2014','Minnesota','All Types of Cancer','458.1','452.7','463.5','28685','5452649'
'2014','Mississippi','All Types of Cancer','471.8','464.4','479.3','16043','2988578'
'2014','New Hampshire','All Types of Cancer','478.4','467.7','489.4','8078','1328684'
'2014','New Jersey','All Types of Cancer','480.1','475.8','484.4','50620','8943010'
'2014','North Carolina','All Types of Cancer','466.6','462.6','470.6','53739','9941160'
'2014','Ohio','All Types of Cancer','463.3','459.7','467','65115','11593741'
'2014','South Dakota','All Types of Cancer','466.1','452.4','480.2','4598','849455'
'2014','Vermont','All Types of Cancer','465.3','450','481','3779','625665'
'2014','West Virginia','All Types of Cancer','472.8','463.9','481.8','11562','1847624'
'2014','Wisconsin','All Types of Cancer','470.2','464.9','475.4','32416','5751272'
'2014','Delaware','All Types of Cancer','494','481','507.3','5748','934805'
'2014','Iowa','All Types of Cancer','482.6','475.4','489.9','18032','3105563'
'2014','Kentucky','All Types of Cancer','525.5','519.2','532','27168','4410415'
'2014','Louisiana','All Types of Cancer','481.6','475.5','487.7','24889','4648797'
'2014','Maine','All Types of Cancer','480.9','470.5','491.4','8800','1328903'
'2014','New York','All Types of Cancer','482.6','479.7','485.5','111561','19773580'
'2014','Pennsylvania','All Types of Cancer','483.1','479.7','486.6','78455','12790341'
'2014','Rhode Island','All Types of Cancer','484.4','472.1','496.9','6254','1054782'
'2014','New Mexico','All Types of Cancer','380.5','372.6','388.5','9240','2083207'
'2014','Arizona','All Types of Cancer','392.3','387.9','396.8','30812','6706435'
'2014','Nevada','All Types of Cancer','394.1','387','401.3','12417','2831730'
'2014','California','All Types of Cancer','406.7','404.8','408.7','166220','38701278'
'2014','Colorado','All Types of Cancer','404.2','398.9','409.7','22815','5342311'
'2014','Hawaii','All Types of Cancer','408.1','398.3','418.1','7015','1417710'
'2014','Texas','All Types of Cancer','411.4','408.9','413.9','107950','26954436'
'2014','Utah','All Types of Cancer','403.5','395.5','411.6','10139','2938671'
'2014','Wyoming','All Types of Cancer','402.7','387.1','418.8','2670','583334'
'2014','Alaska','All Types of Cancer','417.7','401.1','434.9','2772','736759'
'2014','Virginia','All Types of Cancer','422.9','418.7','427.2','39500','8316902'
'2015','Alabama','All Types of Cancer','452.6','447','458.2','26594','4850858'
'2015','Idaho','All Types of Cancer','446.7','436.9','456.7','8241','1649324'
'2015','Maryland','All Types of Cancer','452.7','447.6','457.9','31255','6000561'
'2015','Massachusetts','All Types of Cancer','457.9','453.2','462.7','37469','6794002'
'2015','Michigan','All Types of Cancer','448.2','444.3','452.1','54696','9918170'
'2015','Missouri','All Types of Cancer','455.3','450.4','460.4','33388','6072640'
'2015','North Dakota','All Types of Cancer','451.1','436.4','466.2','3776','754859'
'2015','Oklahoma','All Types of Cancer','455.3','449','461.8','20311','3904353'
'2015','South Dakota','All Types of Cancer','442.3','429','455.9','4450','854036'
'2015','Vermont','All Types of Cancer','445.3','430.4','460.6','3688','624455'
'2015','Washington','All Types of Cancer','437.1','432.5','441.8','35666','7152818'
'2015','Arkansas','All Types of Cancer','478.9','471.6','486.3','17176','2975626'
'2015','Connecticut','All Types of Cancer','466.8','460.3','473.3','20918','3593862'
'2015','Florida','All Types of Cancer','458.6','456','461.2','126935','20268567'
'2015','Georgia','All Types of Cancer','466.2','462','470.4','50335','10199533'
'2015','Illinois','All Types of Cancer','469.6','466','473.2','69198','12862051'
'2015','Indiana','All Types of Cancer','465.9','461','470.9','35424','6610596'
'2015','Kansas','All Types of Cancer','469.3','461.8','476.9','15539','2905789'
'2015','Louisiana','All Types of Cancer','480.2','474.2','486.3','25347','4671211'
'2015','Maine','All Types of Cancer','472.9','462.7','483.4','8776','1327787'
'2015','Minnesota','All Types of Cancer','479.9','474.4','485.4','30537','5483238'
'2015','Mississippi','All Types of Cancer','465.5','458.1','472.9','16029','2985297'
'2015','Montana','All Types of Cancer','465.9','453.9','478.1','6164','1028317'
'2015','Nebraska','All Types of Cancer','459.6','450.4','469','9915','1893564'
'2015','New Hampshire','All Types of Cancer','474.2','463.5','485','8121','1330134'
'2015','North Carolina','All Types of Cancer','470.7','466.7','474.7','55562','10041769'
'2015','Ohio','All Types of Cancer','471.6','468','475.3','67003','11606027'
'2015','Rhode Island','All Types of Cancer','467.6','455.6','479.9','6082','1055916'
'2015','South Carolina','All Types of Cancer','465.1','459.5','470.8','27951','4892423'
'2015','Tennessee','All Types of Cancer','469.5','464.6','474.4','36947','6590726'
'2015','West Virginia','All Types of Cancer','477.5','468.6','486.6','11799','1839767'
'2015','Wisconsin','All Types of Cancer','467.1','461.9','472.3','32695','5759744'
'2015','Delaware','All Types of Cancer','495.1','482.2','508.3','5920','944107'
'2015','Iowa','All Types of Cancer','481.1','473.9','488.3','18248','3118473'
'2015','Kentucky','All Types of Cancer','523.1','516.8','529.5','27479','4422057'
'2015','New Jersey','All Types of Cancer','483.1','478.9','487.4','51794','8960001'
'2015','New York','All Types of Cancer','481.4','478.6','484.3','112957','19819347'
'2015','Pennsylvania','All Types of Cancer','487.2','483.8','490.7','80003','12791124'
'2015','Nevada','All Types of Cancer','372.8','366','379.6','12180','2883057'
'2015','New Mexico','All Types of Cancer','376.2','368.4','384.1','9317','2082264'
'2015','Arizona','All Types of Cancer','385.8','381.4','390.2','31281','6802262'
'2015','Colorado','All Types of Cancer','393.3','388.1','398.5','22990','5440445'
'2015','District of Columbia','All Types of Cancer','399.6','384.2','415.4','2667','672736'
'2015','Wyoming','All Types of Cancer','392.5','377.1','408.3','2643','586102'
'2015','Alaska','All Types of Cancer','406.5','390.6','423','2831','737979'
'2015','California','All Types of Cancer','403.7','401.7','405.6','168868','39032444'
'2015','Hawaii','All Types of Cancer','410.7','400.9','420.6','7219','1426320'
'2015','Texas','All Types of Cancer','405.5','403.1','408','109735','27454880'
'2015','Utah','All Types of Cancer','407.1','399.2','415.1','10529','2984917'
'2015','Virginia','All Types of Cancer','411.6','407.5','415.8','39378','8366767'
'2015','Oregon','All Types of Cancer','417','411.2','422.9','20625','4016537'
'2016','Alabama','All Types of Cancer','457.8','452.2','463.4','27195','4860545'
'2016','Idaho','All Types of Cancer','439.2','429.6','449','8354','1680026'
'2016','Indiana','All Types of Cancer','443','438.2','447.8','34260','6634007'
'2016','Kansas','All Types of Cancer','457.3','449.9','464.8','15312','2907731'
'2016','Maryland','All Types of Cancer','440.9','435.8','445.9','30942','6024752'
'2016','Michigan','All Types of Cancer','436.8','433','440.6','53911','9933445'
'2016','Minnesota','All Types of Cancer','455.7','450.3','461','29619','5525050'
'2016','Missouri','All Types of Cancer','446.3','441.3','451.2','33171','6091176'
'2016','Montana','All Types of Cancer','456.6','444.8','468.6','6194','1038656'
'2016','Nebraska','All Types of Cancer','446.4','437.4','455.6','9838','1907603'
'2016','North Dakota','All Types of Cancer','448.7','434','463.8','3765','755548'
'2016','Ohio','All Types of Cancer','456.1','452.5','459.7','65645','11622554'
'2016','Oklahoma','All Types of Cancer','447.9','441.6','454.3','20167','3921207'
'2016','Rhode Island','All Types of Cancer','450.6','438.9','462.6','5972','1057566'
'2016','South Carolina','All Types of Cancer','440.9','435.6','446.4','27313','4959822'
'2016','South Dakota','All Types of Cancer','449.5','436.1','463.1','4612','861542'
'2016','Tennessee','All Types of Cancer','455.7','450.9','460.5','36598','6649404'
'2016','Vermont','All Types of Cancer','442.4','427.6','457.7','3681','623354'
'2016','Washington','All Types of Cancer','445.1','440.5','449.8','37378','7280934'
'2016','Arkansas','All Types of Cancer','469.6','462.4','476.8','17053','2988231'
'2016','Connecticut','All Types of Cancer','465.5','459','472','21117','3587685'
'2016','Georgia','All Types of Cancer','468.8','464.7','473','52056','10313620'
'2016','Illinois','All Types of Cancer','462.8','459.3','466.3','68954','12835726'
'2016','Iowa','All Types of Cancer','473.6','466.5','480.7','18146','3130869'
'2016','Louisiana','All Types of Cancer','473.1','467.2','479.1','25451','4686157'
'2016','Maine','All Types of Cancer','473.4','463.1','483.8','8901','1330232'
'2016','Mississippi','All Types of Cancer','465.8','458.5','473.2','16265','2985415'
'2016','New Jersey','All Types of Cancer','474.8','470.6','479','51521','8978416'
'2016','New York','All Types of Cancer','474.8','472','477.7','113026','19836286'
'2016','North Carolina','All Types of Cancer','458.4','454.5','462.3','55394','10156689'
'2016','West Virginia','All Types of Cancer','472','463.2','481','11698','1828637'
'2016','Wisconsin','All Types of Cancer','458.6','453.5','463.7','32688','5772917'
'2016','Delaware','All Types of Cancer','487.2','474.6','500.1','6001','952698'
'2016','Kentucky','All Types of Cancer','509.7','503.5','516','27137','4436113'
'2016','New Hampshire','All Types of Cancer','480.9','470.3','491.8','8442','1335015'
'2016','Pennsylvania','All Types of Cancer','482.5','479.1','486','80089','12787085'
'2016','New Mexico','All Types of Cancer','359.4','351.8','367.1','9075','2085432'
'2016','Arizona','All Types of Cancer','376.3','372','380.5','31443','6908642'
'2016','District of Columbia','All Types of Cancer','378.3','363.5','393.7','2566','684336'
'2016','California','All Types of Cancer','385.6','383.7','387.5','164887','39296476'
'2016','Colorado','All Types of Cancer','388.8','383.7','394','23244','5530105'
'2016','Nevada','All Types of Cancer','385','378.2','391.8','13054','2939254'
'2016','Texas','All Types of Cancer','391.8','389.4','394.2','109083','27904862'
'2016','Utah','All Types of Cancer','390.6','383','398.3','10494','3044321'
'2016','Wyoming','All Types of Cancer','402.3','386.9','418.1','2775','584910'
'2016','Alaska','All Types of Cancer','405.8','390.1','421.9','2882','741522'
'2016','Florida','All Types of Cancer','419.3','416.9','421.8','119408','20656589'
'2016','Hawaii','All Types of Cancer','414.2','404.5','424.1','7395','1428683'
'2016','Massachusetts','All Types of Cancer','404.2','399.7','408.6','33626','6823721'
'2016','Oregon','All Types of Cancer','405.3','399.6','411','20596','4085989'
'2016','Virginia','All Types of Cancer','413.3','409.2','417.5','40322','8414380'
