Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2002','Maine','All Types of Cancer','535.8','524','547.8','7911','1295960'
'2002','Maryland','All Types of Cancer','500.8','494.7','506.9','26472','5440389'
'2002','Massachusetts','All Types of Cancer','530.1','524.7','535.7','35916','6417206'
'2002','Michigan','All Types of Cancer','524.6','520.1','529.1','52752','10015710'
'2002','Minnesota','All Types of Cancer','485.5','479.4','491.8','23869','5018935'
'2002','Mississippi','All Types of Cancer','null','null','null','Data Suppressed','null'
'2002','Montana','All Types of Cancer','505.2','491.3','519.5','5010','911667'
'2002','Nebraska','All Types of Cancer','489.6','479.4','500','8814','1728292'
'2002','Nevada','All Types of Cancer','500.4','490.6','510.3','10313','2173791'
'2002','New Hampshire','All Types of Cancer','538.2','525.5','551.2','6868','1269089'
'2002','Tennessee','All Types of Cancer','409.4','404.3','414.6','24346','5795918'
'2002','New Jersey','All Types of Cancer','536.1','531.3','541','48049','8552643'
'2002','New York','All Types of Cancer','501.8','498.7','504.9','99368','19137800'
'2002','Ohio','All Types of Cancer','483.1','479.2','487.1','58038','11407889'
'2002','Oregon','All Types of Cancer','488.2','481.1','495.5','17872','3513424'
'2002','Pennsylvania','All Types of Cancer','517.4','513.7','521.2','74140','12331031'
'2002','Rhode Island','All Types of Cancer','538.3','525','551.9','6248','1065995'
'2002','South Carolina','All Types of Cancer','505.5','498.7','512.5','20951','4107795'
'2002','South Dakota','All Types of Cancer','528','512.3','544.1','4337','760020'
'2002','Texas','All Types of Cancer','481.7','478.5','484.9','88751','21690325'
'2002','Utah','All Types of Cancer','416.7','407','426.6','7180','2324815'
'2002','Vermont','All Types of Cancer','490.7','473.8','508.1','3215','615442'
'2002','Washington','All Types of Cancer','512.4','506.5','518.3','29657','6052349'
'2002','West Virginia','All Types of Cancer','502.2','492.7','511.8','10768','1805414'
'2002','Wisconsin','All Types of Cancer','486.2','480.4','492','27362','5445162'
'2002','Alaska','All Types of Cancer','503','480.4','526.3','2240','642337'
'2002','Arizona','All Types of Cancer','430.9','425.4','436.5','23461','5396255'
'2002','Connecticut','All Types of Cancer','522.9','515.6','530.3','19574','3458749'
'2002','Delaware','All Types of Cancer','516.8','501.5','532.4','4353','806169'
'2002','District of Columbia','All Types of Cancer','551.6','532.3','571.4','3110','573158'
'2002','Florida','All Types of Cancer','506','502.9','509.1','104450','16689370'
'2002','Georgia','All Types of Cancer','486.2','481.1','491.4','35646','8508256'
'2002','Hawaii','All Types of Cancer','426.7','415.6','438','5621','1239613'
'2002','Illinois','All Types of Cancer','510.7','506.7','514.7','62366','12525556'
'2002','Indiana','All Types of Cancer','498.5','493','504.2','30662','6155967'
'2002','Iowa','All Types of Cancer','497.3','489.6','505','16343','2934234'
'2002','Kentucky','All Types of Cancer','524.5','517.5','531.5','21912','4089875'
'2002','Louisiana','All Types of Cancer','500.8','494.1','507.5','21578','4497267'
'2003','Alabama','All Types of Cancer','437.5','431.6','443.5','20815','4503491'
'2003','California','All Types of Cancer','448','445.7','450.3','142620','35253159'
'2003','Colorado','All Types of Cancer','453','446.3','459.7','18082','4528732'
'2003','Nevada','All Types of Cancer','478.5','469.1','488','10344','2248850'
'2003','North Carolina','All Types of Cancer','457.9','453.3','462.5','38888','8422501'
'2003','North Dakota','All Types of Cancer','465.4','449.5','481.7','3299','638817'
'2003','Ohio','All Types of Cancer','471.1','467.2','475','57274','11434788'
'2003','Oregon','All Types of Cancer','470.1','463.1','477.1','17582','3547376'
'2003','Texas','All Types of Cancer','476.5','473.3','479.6','89894','22030931'
'2003','Virginia','All Types of Cancer','458.4','453.4','463.4','32900','7366977'
'2003','Wyoming','All Types of Cancer','462.8','444.2','482','2369','503453'
'2003','Georgia','All Types of Cancer','476.7','471.7','481.7','35803','8622793'
'2003','Idaho','All Types of Cancer','465.6','453.9','477.6','6016','1363380'
'2003','Kansas','All Types of Cancer','470.2','462.2','478.4','13169','2723004'
'2003','Minnesota','All Types of Cancer','474.3','468.2','480.4','23744','5053572'
'2003','Mississippi','All Types of Cancer','465.9','458','473.9','13229','2868312'
'2003','Missouri','All Types of Cancer','476','470.5','481.5','28903','5709403'
'2003','Nebraska','All Types of Cancer','475.9','465.8','486','8648','1738643'
'2003','Arkansas','All Types of Cancer','466.3','458.5','474.2','13849','2724816'
'2003','Alaska','All Types of Cancer','495.2','473','518','2270','648414'
'2003','Connecticut','All Types of Cancer','514.2','506.9','521.5','19524','3484336'
'2003','Delaware','All Types of Cancer','503.1','488.2','518.3','4346','818003'
'2003','District of Columbia','All Types of Cancer','547.6','528.4','567.4','3085','568502'
'2003','Florida','All Types of Cancer','491.6','488.6','494.6','103490','17004085'
'2003','New Hampshire','All Types of Cancer','518','505.7','530.6','6762','1279840'
'2003','New Jersey','All Types of Cancer','511.7','507','516.3','46379','8601402'
'2003','New Mexico','All Types of Cancer','420.7','411.4','430.1','7846','1877574'
'2003','New York','All Types of Cancer','497.3','494.2','500.4','99499','19175939'
'2003','Oklahoma','All Types of Cancer','490.2','483','497.4','17983','3504892'
'2003','Pennsylvania','All Types of Cancer','506','502.3','509.7','73139','12374658'
'2003','Rhode Island','All Types of Cancer','515.5','502.5','528.8','6044','1071342'
'2003','South Carolina','All Types of Cancer','486.5','479.9','493.3','20685','4150297'
'2003','South Dakota','All Types of Cancer','483.8','468.8','499.1','4011','763729'
'2003','Tennessee','All Types of Cancer','429.7','424.4','434.9','25993','5847812'
