YEAR,STATE_ABBR,AVG_REL_EST_AIR_STACK,AVG_REL_EST_ENERGY_RECOVERY,AVG_REL_EST_RECYCLING,AVG_REL_EST_OTH_DISP,AVG_REL_EST_POTW_NON_METALS,AVG_REL_EST_WATER,AVG_REL_EST_SURF_IMP,AVG_REL_EST_UNINJ_IIV,AVG_REL_EST_AIR_FUG,AVG_REL_EST_LAND_TREA,AVG_REL_EST_WASTE_TREATMENT,AVG_REL_EST_OTH_LANDF,AVG_REL_EST_RCRA_C,AVG_REL_EST_TOTAL_ON_OFFSITE_RELEASE,AVG_REL_EST_UNINJ_I,AVG_REL_EST_SI_5.5.3B,AVG_REL_EST_TOTAL_ONSITE_RELEASE,AVG_REL_EST_SI_5.5.3A,AVG_REL_EST_POTW_RELEASE,AVG_REL_EST_POTW_TREATMENT,AVG_REL_EST_TOTAL,AGE_ADJUSTED_CANCER_RATE
2010,AL,19688.09963,62729.02082,242662.2827,11770.69194,66497.4484,17684.63601,,1750.0001,7195.046504,10055.16705,41129.92971,71653.22364,161697.6322,,,103844.4744,,,,,818357.6531,467.8
2010,AR,14648.8412,185010.1804,286319.5476,2566.770406,59309.12905,13616.33084,,1294,4753.301986,14927.01948,22983.69396,76061.35369,4677.1,,49657.76,59829.05872,,,,,795654.0874,456.4
2010,AS,,,,,,,,,,,,,,,,,,,,,0,
2010,AZ,4337.972164,38103.8985,44387.95073,751344.0658,194745.4427,47.60764706,,,1809.097033,18506.31545,15152.20551,226096.68,,,,111314.1907,,,,,1405845.426,406.1
2010,CA,3299.457026,22302.23222,104414.3834,34536.86901,85276.64449,8668.637897,,1913.157895,1005.905763,19381.34842,31976.17928,69288.72418,204152.8339,,45357,149.885,,9.488125,,,631732.7467,439.4
2010,CO,4372.49667,34631.74038,122748.1708,107178.0744,60256.61111,12647.03526,,,1578.40432,613.12,180651.6365,112574.9879,154507.6125,,,62658.25744,,,,,854418.1472,430.3
2010,CT,2289.944903,31998.62221,57503.7967,15242.492,45296.79506,1958.860184,,,1152.576661,,10582.6886,,,,,,,,,,166025.7763,502.4
2010,DC,5.62815531,24.01666667,20990.315,,,534.2,,,167.0018933,,,,,,,9803.5,,,,,31524.66172,501.3
2010,DE,26865.85189,54660.58824,131705.8164,,73088.83806,12510.10036,,,925.3738078,,65214.85789,19270.875,,,,1956.666667,,,,,386198.9683,511.5
2010,FL,28779.49017,10163.38966,44532.60239,11329.40745,236216.0801,8685.053813,,1274,5166.087929,16669.85636,9481.032981,53272.94527,,,1197513.46,3230.865349,,,,,1626314.271,465.5
2010,GA,31327.00738,17889.854,83116.29971,17533.53191,33739.14899,35191.92289,,0.0995,8725.986802,9366.34359,16659.94211,17086.45055,,,,110396.9941,,,,,381033.5815,462.6
2010,GU,11302.64392,5.4604,,1534.76,,10754.62386,,,585.5845926,,0.290543333,,,,,9.769933333,,,,,24193.13325,
2010,HI,12203.8296,51.52318182,10127.12462,21402.65,,22617.945,,185.9101429,2929.233233,,152.9497674,,,,,,,,,,69671.16554,426.4
2010,IA,15624.82544,13308.63904,91781.03413,534.5517857,98545.47524,28239.80648,,,3705.811563,56897.93471,10138.62172,125940.1431,,,,22666.45285,,0.0086,,,467383.3047,491.1
2010,ID,15513.85889,62.22666667,130087.3385,372223.9548,179087.5569,61024.77983,,,4064.390451,91946.48392,11710.90071,7390.52834,305641.6786,,,342364.021,,310900.8571,,,1832018.576,460.3
2010,IL,10845.69502,16402.85667,99651.98197,9360.908076,38454.81556,18152.05903,,,2631.599709,3565.427407,13341.037,177038.6124,69861.50007,,,82487.61974,,14361,,,556155.1126,482.6
2010,IN,21208.07453,26078.86207,179562.9126,21926.85463,55311.282,70989.79432,,,4217.442611,27901.82069,46327.18418,123319.6046,87253.352,,49840.17286,55026.48336,,,,,768963.8404,468.6
2010,KS,12301.15205,37810.67798,135109.9591,1128.871222,53802.84947,14893.63862,,,3067.673424,10698.5,11177.3,101634.4234,,,31754.375,6795.089786,,,,,420174.51,469
2010,KY,41077.18628,102597.049,157499.9906,9098.211688,109504.5126,17202.45776,,13238.97625,5778.59688,24816.78308,42747.26727,60319.3559,,,,57088.47022,,,,,640968.8575,528.1
2010,LA,18456.81168,119747.7423,69028.27538,2485.19046,48190.59001,15684.28749,,,7249.173751,339.5454545,38301.58921,85147.1042,194078.04,,587085.1899,62156.33089,,57,,,1248006.871,498.4
2010,MA,3859.174045,14045.57964,36289.29333,566.0264294,209180.6294,72.4388925,,,618.3106061,,43420.57657,361.4285714,,,,283.1381875,,,,,308696.5957,477.8
2010,MD,17587.57225,21171.28645,32492.12531,1626.13,458155.6174,17032.00733,,9537.182,1505.344319,23445.6087,3509.130435,28863.85912,,,,998,,,,,615923.8633,469.8
2010,ME,10241.16707,35017.96429,26067.06521,3611.6,52541.23263,23758.46826,,,7802.38299,,2492.744925,20760.50168,,,,,,,,,182293.127,495
2010,MI,14853.10587,89774.9418,91995.46597,17641.86915,89050.05237,8030.502951,,,1737.429647,,55134.05238,95370.18145,43457.48028,,40244.90909,123764.5664,,,,,671054.5574,490.6
2010,MN,9452.072832,5240.806861,61809.65766,29627.42174,366525.4949,16909.7294,,,3500.690119,8722.5,4685.579183,114449.2094,,,,153594.9027,,,,,774518.0648,475.7
2010,MO,9901.969509,29048.3285,114743.8063,118883.4335,52835.63462,12692.46714,,,1959.283323,36434.28571,36237.35391,88887.49702,304542.943,,,496831.6604,,,,,1302998.663,464
2010,MP,539.5004483,,,,,7.236666667,,,33.68548276,,,,,,,0.373483333,,,,,580.796081,
2010,MS,26493.02195,7659.91405,108844.1858,7431.953307,46600.57344,22252.81499,,,7152.618705,,19021.14723,38828.94647,,,1377774.017,300221.6573,,,,,1962280.85,487.8
2010,MT,7196.461473,4718.066375,12247.04161,284158.3392,6577.142857,5646.796432,,5606.938,1650.782889,74.33846154,519.3224368,384379.6291,,,,174206.5959,,,,,886981.4548,477.1
2010,NC,22100.85391,22176.11014,128252.7898,32815.38339,30152.2767,24324.7281,,,4037.557273,11250.87138,12511.19615,76254.16581,,,,35807.25949,,,,,399683.1922,483.8
2010,ND,20708.47305,3069.333333,36200.08891,20438.65,177676.4829,1685.993889,,286.18,1867.1475,155149.25,659.0666667,59019.78525,,,,126393.5257,,,,,603153.9771,465.6
2010,NE,11683.00297,4023.339988,268511.4234,16464.1208,78306.92924,193788.7109,,,1858.585866,24297.25,24383.77253,201790.8447,,,,123.8362501,,,,,825231.8167,468
2010,NH,17132.66228,8074.629643,119679.613,0.087333333,30066.11986,54.48250848,,,430.0648544,,1134.227203,1514.777778,,,,,,,,,178086.6644,506.2
2010,NJ,3526.486857,86920.7746,49495.58896,9427.216431,251020.9931,49664.90456,,,1264.48718,,34408.63763,,2621.862857,,,,,,,,488350.9522,500.2
2010,NM,3655.837551,49101.47323,62605.93586,118471.2918,89441.67222,2309.139182,,,2008.920975,412929.3333,21137.3884,143928.8161,,,1361.25,27297.22925,,,,,934248.2879,399.2
2010,NV,1517.361835,2541.874286,55779.38842,2244442.786,35709,128.075,,,3340.442867,149.77,30968.9201,22332.36554,103586.9,,,1287050.37,,,,,3787547.255,433.7
2010,NY,5942.261519,20003.42774,87336.05287,9921.82619,107360.15,17851.38561,,,1009.349974,10430.66667,15714.77818,19708.38192,30421.27275,,,144.8720909,,,,,325844.4255,495
2010,OH,18091.55416,43810.58161,116947.1071,1588.103597,103968.3107,13684.73492,,,2262.732839,14169.53368,16575.39592,126720.022,113863.6004,,413664.1702,71262.83346,,,,,1056608.681,466.2
2010,OK,24295.16097,11652.13551,54224.79019,8763.218,31581.10463,25091.68516,,,5468.61662,1210.422222,5693.621503,32371.04515,300292.3413,,320858.05,11721.5404,,,,,833223.7316,454.6
2010,OR,10375.15499,21230.91712,95997.80128,418.8264078,84409.96135,10300.12275,,,3040.261821,,6307.159059,18555.2293,209115.8997,,,536.8982805,,2319.3,,,462607.532,450.6
2010,PA,15690.4791,36890.64146,105691.4631,33401.53246,59913.12884,12905.41555,,,2151.210218,10559.68066,32246.72265,52895.51106,,,,274311.4572,,2.4,,,636659.6422,506.7
2010,PR,17867.82525,545473.9859,165614.7615,2092.05,121725.6691,31.635,,,1435.262757,,159389.7923,,,,,,,,,,1013630.982,
2010,RI,1032.22477,20219.16,88945.8757,,68553.87255,35.39696136,,,518.5008833,,2950.676741,,,,,,,,,,182255.7076,475.2
2010,SC,21627.54076,194598.1912,233189.7018,14018.17787,59038.3416,10423.2764,,,6104.929486,16750.80251,44569.78241,36362.73947,162,,,44569.58658,,,,,681415.0701,477.2
2010,SD,5090.90584,3874,11363.69794,1112.536,11920.26667,66097.9541,,,4623.178695,,8089.919414,59791.08208,,,,1657.227273,,,,,173620.768,453.4
2010,TN,22511.81319,33734.81658,115411.0922,8489.464672,27942.90508,6803.670465,,,6437.204684,6687.833333,12471.83379,162179.7228,1677.826768,,,191943.0064,,,,,596291.19,480.2
2010,TX,8147.806205,50880.09568,131005.8979,5652.313875,137092.2668,10477.22231,,719.6821239,4774.126528,19206.95318,83840.45023,93681.9914,24724.24038,,237001.2982,41485.50306,,15735,,,864424.8479,431.1
2010,UT,14583.10362,3518.653846,97384.0277,849522.4952,51449.39387,1464.199432,,,3247.129161,6094.836207,14685.82434,110436.6657,109772.0815,,,1437103.405,,,,,2699261.816,426.1
2010,VA,27475.96232,33852.50121,133536.5311,10267.2903,333372.5209,72026.97048,,,4706.399826,1182.485,16903.68486,27687.84976,,,,30929.39145,,,,,691941.5872,431.1
2010,VI,8011.616131,,5715.351524,20.875,,13515.66374,,,3355.649688,3719.9,1190.9324,,,,,,,,,,35529.98849,
2010,VT,671.5235015,1683.566667,16837.10682,2222.94,363161.464,24497.4,,,148.3975304,,12620.86123,,,,,,,,,,421843.2597,483.8
2010,WA,10414.64025,10960.39955,55561.26376,13525.20712,115000.1564,8895.269764,,0.2650002,3137.421901,2010.725917,9641.009566,176812.0694,1877.816667,,,151026.4975,,,,,558862.7427,482.1
2010,WI,8686.621659,45597.92036,62988.56547,21828.13867,55397.17004,9192.15121,,,1392.408753,45539.63133,39780.88489,13404.08967,,,,806.98615,,64412,,,369026.5682,479.3
2010,WV,34620.21964,49825.75204,309188.5867,2566.293071,144526.9738,8448.705169,,,3199.295355,31338.08065,31464.4223,64478.14981,1083,,,41760.36431,,,,,722499.8429,481.4
2010,WY,6352.325016,942.4086957,13520.97,1561.19,3112.8,861.7500001,,,3144.502277,24.82518203,1052.04072,198332.0229,,,2381933.333,48861.97183,,,,,2659700.14,434.4
2011,AK,756.5073429,1318.913667,6030.288571,9547111.458,90.85222222,3145.10166,,,4100.216125,,57.43718444,30235.66667,,,,15539731.06,,,,,25132577.5,447
2011,AL,18800.59088,50521.4798,247595.5861,15344.12792,73954.29608,18212.78963,,1751.666667,8688.785168,11260.45867,81099.01296,69401.19152,99898.29948,,,89628.02362,,,,,786156.3085,459.4
2011,AR,12640.43359,54744.47657,270418.9253,1915.61234,40073.72917,15515.1209,,1946.333333,5238.745125,11937.63766,20676.14198,80369.32851,4089.725029,,77893.69565,39070.32845,,,,,636530.2336,448.5
2011,AS,,,,,,,,,,,,,,,,,,,,,0,
2011,AZ,4096.23819,42659.17136,63097.19676,902369.4636,255261.8497,43.715,,2.51,2010.763996,16971.67417,35282.84827,245628.9558,,,,181468.1921,,,,,1748892.579,407
2011,CA,2770.215452,20845.21829,104961.3162,58731.87255,79198.9519,9793.138206,,1848.513636,834.8368431,21539.31181,24632.3795,95180.29344,190342.7276,,512,881.6005263,,30.74,,,612103.116,429.1
2011,CO,3968.946858,36460.68964,109920.6021,166301.8913,61480.425,21129.22045,,,1763.821166,500,118412.8514,96599.68672,111259.3124,,,140175.1158,,,,,867972.5628,425.7
2011,CT,1595.436982,37267.24968,62378.9829,8837.62,39479.97279,1785.867006,,,1099.494209,,13621.33536,,,,,,,,,,166065.9589,492.9
2011,DC,22.47068133,290.3033333,4349.64,,71,4184.766667,,,161.8611889,,,,,,,7600,,,,,16680.04187,524.7
2011,DE,16088.29448,60431.65029,164437.0608,3729.365,72168.85688,21219.60768,,,794.4276649,,92267.31707,51315.8,,,,2438.5,,,,,484890.8799,516
2011,FL,25501.75978,9024.129023,60349.69892,9324.656492,238985.9866,7923.032885,,3036.5,5139.457521,19899.38869,16890.18356,48911.33404,,,1360667.331,2813.264264,,,,,1808466.723,481.6
2011,GA,28794.3625,15057.39384,89148.75797,13900.19343,31428.18503,34022.75432,,0.0625,7510.812954,9927.443043,20920.54516,7529.676472,32315.16364,,,95973.22572,,,,,386528.5766,471.9
2011,GU,7598.079607,58.44208333,,985.14,,20875.03018,,,405.7150206,,37.67433333,,,,,5.6218,,,,,29965.70302,
2011,HI,13387.46808,49.0782,2783.266667,15527.975,,20468.486,,232.6393136,2043.085926,,82.162575,,,,,,,,,,54574.16176,421.5
2011,IA,16117.69646,21726.06012,101821.6379,543.9169063,91272.77896,27200.83012,,,3621.372212,1493.855,9006.606242,103837.5925,,,,19583.20205,,,,,396225.5484,486.7
2011,ID,15443.56606,3.586,114702.61,248573.2058,186863.5556,60408.3995,,,4839.187573,77739.39794,15119.10577,18129.35437,318648.75,,,307739.487,,190386.8235,,,1558597.029,457.8
