,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
NV,1825745.5786054905,1761899.7885713882,2052941.8470266212,2365560.053776503,2245413.4989917013,3243149.7025123807,3619008.14094035,4076078.296137284,4411966.165709267,3893255.01742222,8691046.330015246
NY,3467179.4030616963,2573118.453115973,2352897.65476044,1328564.221780776,1163309.0933568042,1156504.775926628,2194577.4118937603,1291510.8463761427,8737043.82326641,15521487.067670934,9840781.748882309
OH,10070505.948815266,8200753.890275434,7447102.711297907,9035570.492433278,7074437.949843224,5414383.344381722,5457005.144834054,6927099.517009796,5103928.509812743,5808956.624045536,5845480.590843055
OK,3500893.566527854,2117723.3802132774,4454832.93839538,1734116.3426788913,4578871.85675807,3930542.4042773223,30675143.076036446,7056847.928540293,2113589.788626689,1707847.8185663575,1850835.4630800292
OR,15431226.482789345,17209893.524797764,10682595.439587766,7129309.846528307,7670386.9928713525,8263619.077375887,11311629.474470546,9440726.199690891,9967467.06683458,9231854.851795854,14915557.566999856
PA,3436443.5675697834,1983130.4130543284,1917927.2353665882,1679001.8975662717,1813075.8452001133,1738024.9304027206,2235134.0781957884,1787507.5744872144,6957899.464548695,5456027.353334412,2526540.867231182
PR,5381509.16841522,4520662.835290366,1593771.1898375996,1893723.1915691937,1405168.6932616183,1174027.8198331841,1138968.0775803858,712228.2630696116,2715539.9548057932,3853802.77534761,1872914.2565642637
RI,297326.022970094,339022.300294626,254830.39981166206,313294.42300558806,483481.58648063894,1148655.820106656,730020.0881525822,548839.4572222229,299726.65854035405,278766.05635651894,257391.97263489003
SC,5844694.59163343,7307845.551497179,7917556.6152264085,6036006.171254585,4981318.373229653,5392687.922552696,7112936.580240031,6455878.129100671,4519541.858642433,6427503.861964308,4858363.715662787
SD,313017.789177361,248504.199391514,185583.0623860101,205632.223272823,201292.11789515207,156052.967649897,158673.32825080006,159206.35205775895,147980.828572027,151913.680197287,135315.46381605195
TN,2834779.6485554194,3220785.479790268,2510051.2123119626,2013555.9655903247,2043817.7498452745,2274419.91942664,2265397.1474794853,2588253.1546821757,2715724.091417659,2304397.6415548245,3241547.6614339743
TX,30211770.073131725,27373765.802684132,26659432.60665395,23420435.04642259,22792089.853694964,22077777.804453682,24231989.821237665,22760916.86136815,24093870.8707248,21643430.39846936,29928483.20948083
UT,2946167.2025956605,2579200.631691085,3761955.9664279926,3573021.705745583,6189025.659342295,3449146.382978468,3676691.6474595345,3064039.4199604937,3663749.891429456,2903978.2961126673,3193977.133476907
VA,1981099.015808103,1637343.5207539897,1356781.1372776497,1542915.5251030226,1375755.0338792366,1125696.8099472814,1046832.6560385342,1175246.4220057256,1217513.6878293895,1025853.1355825363,844716.7037720681
VI,189704.94696889905,275894.95200163295,201210.38659923302,242756.00540980804,150181.03476459894,321833.13680713304,369281.7051796,6737.166798917001,12300.389817149999,6188.392665583,10143.77546068
VT,292889.3183325591,434986.476295279,251697.22759027203,195925.566816616,111610.90771726,154890.77167452697,123023.909912056,116099.01416221197,155088.247318092,121910.96694735202,122442.153640003
WA,977404.6811942665,1934659.516604657,1519073.3967148142,990215.2199441307,2885296.655096876,1192020.9119939718,9851132.756920446,2351475.057517899,4459791.837582773,4143546.978838049,1426745.5400316627
WI,1460757.166114567,1033064.4607660234,1140481.5136056705,1031647.6169446807,1297138.1312450643,1361842.321270611,1209432.4068462495,1721758.5011514493,1152354.0714280622,1104285.030976532,1014100.8758740965
WV,3531485.6296970565,3063849.2128157206,3567437.8730726447,2916839.494111042,4823690.479158655,4238482.518143936,3950295.5596219474,3116344.911277602,4862797.764022845,7625809.133061814,10804275.11610558
WY,376329.82313906593,366810.847417829,425631.6120435461,433697.6294514561,451738.4216548129,337943.311838734,305061.60567042604,282220.39548346796,278748.807651844,252757.6709289557,257352.78953061494
